idpif,superficie_arbolada,superficie_no_arbolada,Fecha,Longitud,Latitud,INCENDIO,Altitud,Pendiente,Orientacion,NDVI,LandCover,Temp_C,Lluvia_mm,Viento_U
917910,2.0,0.0,2001-04-09,-1.285736984730803,39.02185625900044,1,1025.0,2.0,180.0,5.890000000000001e-05,7.0,7.997949218750023,0.000852346317969932,0.8890533447265625
917928,12.0,0.0,2001-06-25,-1.3243434230132736,39.32257756294705,1,510.0,5.408326913195984,326.30993247402023,4.4720000000000006e-05,9.0,20.513574218750023,0.018209218978881836,-1.0745697021484375
917939,0.1,0.15,2001-07-27,-2.389168544412143,38.30872434200003,1,882.0,8.06225774829855,277.1250163489018,4.825000000000001e-05,10.0,21.094018554687523,0.0008523463748133508,1.0525360107421875
917942,15.0,0.0,2001-07-31,-1.5560342212727694,39.067154453045184,1,802.0,4.031128874149275,119.74488129694222,4.446e-05,7.0,22.704736328125023,0.0018537039068178274,-2.5411529541015625
917947,0.0,0.0,2001-08-11,-1.8105448867052003,39.08513073950728,1,685.0,1.118033988749895,63.43494882292201,2.853e-05,12.0,20.802392578125023,0.15042125596664846,-3.18389892578125
917952,0.01,0.01,2001-08-16,-2.063076366583632,38.36842295749257,1,779.0,8.845903006477066,42.70938995736147,5.0050000000000004e-05,9.0,21.984399414062523,1.0160952806472778,1.373046875
917957,0.0,0.04,2001-08-18,-1.742816507315826,39.14107958319129,1,614.0,2.0615528128088303,104.03624346792648,5.157e-05,12.0,20.378076171875023,0.27962325839325786,-0.42889404296875
917958,4.0,0.0,2001-08-22,-1.0098603037580525,38.93277829896177,1,953.0,7.762087348130012,284.93141717813756,6.225000000000001e-05,8.0,21.306054687500023,0.08754432201385498,1.0901947021484375
917969,0.0,0.0,2001-09-03,-1.339734621491928,39.33396166482848,1,418.0,3.8078865529319543,293.1985905136482,2.9330000000000002e-05,9.0,18.795190429687523,1.0638236999511719,-1.184051513671875
937032,0.3,0.0,2002-03-01,-1.9445215798056623,39.19142378168627,1,673.0,2.0615528128088303,104.03624346792648,2.072e-05,12.0,6.324853515625023,0.060424208641052246,1.466278076171875
937033,0.04,0.0,2002-03-15,-1.4172236286107258,39.37264068328175,1,511.0,5.852349955359813,160.01689347810003,5.0419999999999995e-05,9.0,7.452294921875023,0.8853614563122392,4.85345458984375
937040,0.0,0.02,2002-04-05,-1.4099060918423931,39.09930385098222,1,799.0,2.1213203435596424,225.0,3.02e-05,10.0,4.005029296875023,0.01900792085507419,2.4603118896484375
937042,0.02,0.0,2002-04-27,-2.044016219394775,39.23803936447249,1,660.0,2.5,306.86989764584405,2.408e-05,12.0,16.367578125000023,0.000852346317969932,2.566192626953125
937044,0.2,0.0,2002-05-01,-1.5048366174244567,39.17624848329222,1,549.0,6.800735254367722,323.9726266148964,2.1810000000000003e-05,7.0,14.476708984375023,0.004695215011452092,0.4700469970703125
937048,3.2,1.0,2002-05-17,-2.048385511374589,39.32621752455814,1,759.0,0.5,270.0,2.002e-05,7.0,15.019921875000023,0.0008285045396405621,-3.52944278717041
