idpif,superficie_arbolada,superficie_no_arbolada,Fecha,Longitud,Latitud,INCENDIO,Altitud,Pendiente,Orientacion,NDVI,LandCover,Temp_C,Lluvia_mm,Viento_U
1225067,0.0,4.13,2019-02-02,-1.6360526718370825,38.56128015527353,1,548.0,0.5,90.0,3.12e-05,10.0,4.402490234375023,5.665475036948919,7.275177001953125
Y0_363,0.0,0.0,2016-08-14,-1.2774999999999992,39.275000000000006,0,568.0,2.549509756796392,101.3099324740202,2.329e-05,10.0,17.348535156250023,0.0008583068620282,-1.4680938720703125
997016,0.0,0.02,2005-05-01,-2.362009600343828,38.30152313697776,1,681.0,9.7082439194738,281.888658039628,5.2e-05,10.0,15.167993164062525,0.0147968530654907,0.5554046630859375
1241106,0.0,1.15,2022-04-11,-2.568307123909781,38.44190153421918,1,1136.0,8.54400374531753,290.55604521958344,6.649000000000001e-05,1.0,6.788232421875023,0.0,-2.0400848388671875
Y0_1761,0.0,0.0,2016-07-23,-2.924166666666666,38.64194444444445,0,928.0,1.118033988749895,153.434948822922,3.146e-05,7.0,21.911035156250023,0.0008702277796146,-1.438232421875
1227604,0.002,0.0,2020-07-08,-2.236904964447176,38.19979289334246,1,1368.0,15.976545308670458,200.1363034282481,3.567e-05,9.0,22.537011718750023,0.0,0.0825042724609375
1061444,0.02,0.0,2009-06-17,-2.2033058660560005,38.63050840500732,1,1276.0,6.020797289396148,94.76364169072616,6.747e-05,10.0,17.799951171875023,0.0711619868525303,-2.1177978515625
Y0_927,0.0,0.0,2015-06-05,-2.5219444444444434,38.77361111111112,0,1006.0,1.0,90.0,2.144e-05,10.0,16.593896484375023,0.0,-1.905853271484375
Y0_1427,0.0,0.0,2021-07-18,-2.6355555555555545,39.10055555555556,0,829.0,1.118033988749895,116.565051177078,1.936e-05,12.0,23.242333984375023,0.0,-0.2033843994140625
Y0_1178,0.0,0.0,2022-08-18,-2.5102777777777767,38.16111111111111,0,1320.0,6.800735254367722,252.89727103094765,3.969e-05,9.0,15.898095703125025,0.1213431387441232,0.29296875
997049,0.01,0.0,2005-06-22,-2.059536781775752,38.60854296601261,1,1066.0,6.0,90.0,5.645e-05,7.0,20.671411132812523,0.3230810107197612,-0.737030029296875
Y0_1145,0.0,0.0,2008-06-20,-1.4558333333333326,39.24361111111112,0,694.0,1.4142135623730951,45.0,2.291e-05,7.0,17.717919921875023,0.0008583068620282,-1.0040283203125
1038811,0.0,2.92,2007-08-29,-1.7168081170997993,38.83913831912342,1,802.0,1.5811388300841898,108.43494882292202,2.656e-05,12.0,21.135156250000023,0.0230103723879437,0.88116455078125
1121202,0.0,0.13,2013-07-10,-2.139153231140281,38.5555086870986,1,935.0,2.5,216.869897645844,3.576e-05,7.0,19.241601562500023,1.422493252903223,-0.8137664794921875
Y0_401,0.0,0.0,2011-06-24,-1.5305555555555548,39.32027777777778,0,734.0,1.4142135623730951,315.0,3.574e-05,12.0,19.006982421875023,0.0096440317065571,-3.763702392578125
Y0_1076,0.0,0.0,2004-06-07,-2.9558333333333326,39.48916666666667,0,685.0,1.118033988749895,333.434948822922,1.789e-05,7.0,20.381005859375023,0.9199887281283736,-1.9496307373046875
957023,0.01,0.0,2003-08-09,-1.412780681716873,39.06908573695509,1,888.0,5.70087712549569,74.74488129694222,5.157e-05,7.0,21.183984375000023,0.0152587890625,-1.448883056640625
1121149,1.0,0.93,2013-04-11,-2.3054436228279545,38.56584159908697,1,1381.0,4.0,90.0,5.523e-05,8.0,8.263574218750023,0.077372787927743,2.2965240478515625
Y0_1632,0.0,0.0,2001-05-25,-2.201944444444444,39.04805555555556,0,737.0,1.8027756377319943,56.309932474020215,2.276e-05,7.0,13.539697265625025,0.0819563865661621,1.549713134765625
Y0_958,0.0,0.0,2012-03-12,-2.3555555555555547,38.46944444444445,0,1121.0,9.055385138137416,6.34019174590991,7.55e-05,1.0,5.990380859375023,0.0021405730876722,0.108555793762207
Y0_1649,0.0,0.0,2000-09-27,-2.193055555555554,38.80305555555556,0,903.0,0.7071067811865476,315.0,2e-05,7.0,17.493798828125023,0.8651544922031462,0.116119384765625
1038803,0.01,0.0,2007-08-06,-2.2369142148623817,38.61821510469677,1,1250.0,9.013878188659971,199.44003482817615,5.554e-05,10.0,21.651513671875023,4.1377246379852295,0.007110595703125
1038796,0.01,0.0,2007-08-05,-1.9427389847834755,38.54320260536247,1,744.0,9.486832980505138,161.565051177078,3.3560000000000004e-05,7.0,22.918359375000023,0.0381574936909601,-0.6158294677734375
Y0_770,0.0,0.0,2004-07-03,-1.806666666666666,38.84444444444445,0,780.0,2.1213203435596424,135.0,2.506e-05,7.0,18.628076171875023,0.0118911266326904,-1.7549304962158203
Y0_94,0.0,0.0,2018-08-09,-2.839444444444444,39.24055555555556,0,675.0,1.0,90.0,2.964e-05,12.0,26.121972656250023,1.0331186931580305,1.7141571044921875
Y0_965,0.0,0.0,2021-07-20,-2.3336111111111104,39.50027777777778,0,766.0,0.5,90.0,1.782e-05,12.0,23.635400390625023,0.0,-2.8321075439453125
Y0_690,0.0,0.0,2000-06-17,-2.5880555555555547,39.55416666666667,0,778.0,2.9154759474226504,239.03624346792648,3.1650000000000004e-05,10.0,20.928125000000023,0.0008583068620282,-2.0505828857421875
Y0_1660,0.0,0.0,2025-02-23,-3.010277777777777,39.49861111111112,0,686.0,0.5,0.0,1.775e-05,7.0,5.442529296875023,1.834988594055176,1.4042510986328125
1132044,0.0,0.01,2014-09-03,-1.4894661574321453,38.74734556348662,1,835.0,2.0615528128088303,75.96375653207353,2.155e-05,7.0,23.897241210937523,0.010497799848963,-2.0764923095703125
1105156,0.0,1.92,2012-01-31,-1.7145044748340728,38.42227160287659,1,381.0,1.118033988749895,243.434948822922,3.038e-05,10.0,0.7010742187500227,0.0,1.3577117919921875
1121207,0.0,1.5,2013-07-12,-1.6210673969856937,39.11146328506199,1,680.0,0.7071067811865476,225.0,1.852e-05,12.0,21.077783203125023,0.377809046767652,-2.4293670654296875
996963,0.35,0.0,2005-02-13,-2.516924405899444,38.53995056684075,1,1255.0,7.905694150420948,325.304846468766,4.329e-05,1.0,4.329980468750023,0.0008612871056357,1.5203704833984375
Y0_395,0.0,0.0,2025-04-04,-1.8436111111111104,38.44416666666667,0,560.0,1.4142135623730951,45.0,3.83e-05,7.0,11.396875000000025,1.0400355095043778,0.689697265625
Y0_1507,0.0,0.0,2005-03-26,-2.331944444444444,39.04972222222223,0,879.0,2.0615528128088303,165.96375653207352,2.818e-05,12.0,9.211450195312525,0.96536532510072,1.5435791015625
1227821,20.64,0.0,2020-07-30,-2.058867241243393,38.52961267623867,1,986.0,11.672617529928752,260.1341930569156,3.3690000000000004e-05,10.0,23.755639648437523,0.2843618276529014,-1.2854156494140625
1105197,0.0,0.15,2012-04-14,-1.9108991900091548,38.309665518218566,1,673.0,1.8027756377319943,56.309932474020215,3.603e-05,7.0,7.886621093750023,1.0664165019989014,3.90484619140625
Y0_1674,0.0,0.0,2009-06-25,-1.5286111111111105,38.75194444444445,0,942.0,10.124228365658292,110.22485943116808,3.587e-05,7.0,22.977685546875023,0.001293420609727,3.72705078125
1088816,0.0,3.01,2011-08-29,-1.5310114767935985,39.07543801639483,1,784.0,1.5811388300841898,288.434948822922,2.148e-05,7.0,20.264428710937523,1.5750658931210637,0.5193634033203125
1105211,0.0,0.29,2012-06-01,-2.484205239146531,38.66107503483035,1,895.0,1.118033988749895,153.434948822922,3.553e-05,9.0,18.234033203125023,0.0017232114259968,-2.071563720703125
1121183,0.0,0.01,2013-06-24,-2.327331044982222,38.32408539503055,1,616.0,9.617692030835672,297.89727103094765,5.4600000000000006e-05,10.0,17.088647460937523,0.0017106397081079,-1.7969818115234375
975643,1.5,0.0,2004-09-03,-2.1319096773540496,38.88462956544755,1,757.0,2.549509756796392,78.69006752597979,3.1740000000000004e-05,10.0,19.607568359375023,0.0360012054443359,-2.03753662109375
1226482,0.0,0.77,2019-07-11,-2.0358755008050338,39.19872138877807,1,718.0,1.5811388300841898,288.434948822922,2.619e-05,12.0,22.224755859375023,0.0017122019926318,-1.30450439453125
975588,0.01,0.0,2004-06-29,-2.171094524319696,38.48435607305288,1,913.0,5.522680508593631,275.1944289077348,3.133e-05,7.0,20.607812500000023,0.0991642446024343,0.0015716552734375
1224798,0.0,0.29,2018-04-24,-2.604983618609715,38.55592562322696,1,872.0,6.519202405202649,94.39870535499554,4.529e-05,9.0,12.721337890625025,0.0345110893249511,-3.650787353515625
Y0_804,0.0,0.0,2005-04-15,-2.0216666666666656,39.48444444444445,0,821.0,0.0,180.0,1.744e-05,12.0,10.002587890625025,0.0200569629669189,3.8331298828125
Y0_1439,0.0,0.0,2012-08-27,-2.169166666666666,38.790000000000006,0,901.0,1.5811388300841898,71.56505117707799,2.147e-05,10.0,20.361718750000023,0.0,-1.3455352783203125
1223030,0.0,0.1,2016-09-01,-1.5114201163517156,39.08575895584115,1,770.0,0.5,270.0,1.782e-05,12.0,19.926293945312523,1.0873913997784257,-2.085540771484375
Y0_764,0.0,0.0,2022-08-07,-2.896388888888888,38.50555555555556,0,842.0,4.924428900898052,246.0375110254218,3.207e-05,10.0,25.233544921875023,0.0008553266184208,0.677276611328125
Y0_346,0.0,0.0,2016-12-20,-2.2161111111111103,38.52222222222223,0,1026.0,13.46291201783626,111.80140948635182,5.624e-05,8.0,4.990380859375023,21.66463434696197,1.4176025390625
975659,0.0,0.03,2004-10-14,-2.142564418070396,38.8883398513126,1,754.0,1.118033988749895,63.43494882292201,2.507e-05,12.0,9.119531250000025,0.0008550459256184,2.388671875
Y0_263,0.0,0.0,2010-05-18,-2.892777777777777,39.56055555555556,0,785.0,1.118033988749895,26.56505117707799,2.1e-05,7.0,11.880517578125025,0.0008523463748133,-2.498748779296875
Y0_1266,0.0,0.0,2003-02-14,-2.661944444444444,39.17111111111112,0,749.0,1.118033988749895,63.43494882292201,1.93e-05,12.0,1.0865722656250227,1.0051641147583723,1.4144287109375
