idpif,superficie_arbolada,superficie_no_arbolada,Fecha,Longitud,Latitud,INCENDIO,Altitud,Pendiente,Orientacion,NDVI,LandCover,Temp_C,Lluvia_mm,Viento_U
Y0_0,0.0,0.0,2007-08-12,-1.8030555555555547,39.37666666666667,0,773.0,0.5,0.0,2.2340000000000003e-05,7.0,20.710595703125023,0.015079975128173828,2.254974365234375
Y0_1,0.0,0.0,2003-05-18,-1.581666666666666,39.20222222222223,0,668.0,1.118033988749895,116.56505117707799,2.1050000000000003e-05,7.0,13.020166015625023,0.027436006348580122,-0.9468231201171875
Y0_2,0.0,0.0,2009-09-09,-1.8561111111111104,38.636944444444445,0,789.0,1.5,270.0,1.955e-05,10.0,17.265283203125023,0.0009417532851330179,-0.8330535888671875
Y0_3,0.0,0.0,2002-09-27,-1.820277777777777,38.38,0,428.0,5.522680508593631,275.1944289077348,3.483e-05,7.0,16.484521484375023,0.33166108187288046,0.070526123046875
Y0_4,0.0,0.0,2022-07-22,-2.0905555555555546,38.75833333333334,0,998.0,2.5,180.0,2.1960000000000003e-05,7.0,23.080712890625023,0.0017339571058982983,-0.8384246826171875
Y0_5,0.0,0.0,2014-01-16,-2.3833333333333324,38.809444444444445,0,941.0,0.5,180.0,3.2340000000000005e-05,7.0,6.382104492187523,0.29707245994359255,3.4981689453125
Y0_6,0.0,0.0,2002-08-26,-2.4624999999999995,38.12694444444445,0,1595.0,4.924428900898052,336.0375110254218,2.462e-05,10.0,10.789697265625023,1.4545315643772483,1.816497802734375
Y0_7,0.0,0.0,2002-08-05,-2.4872222222222216,38.54972222222223,0,1264.0,15.435349040433131,245.09523119190482,4.204e-05,8.0,20.371728515625023,0.0,1.3015289306640625
Y0_8,0.0,0.0,2023-08-09,-1.775277777777777,38.78083333333333,0,826.0,1.0,180.0,2.164e-05,7.0,22.109765625000023,0.12575996515806764,-0.5592193603515625
Y0_9,0.0,0.0,2002-05-22,-2.673888888888888,38.49805555555556,0,795.0,2.5,323.13010235415595,3.527e-05,9.0,15.741113281250023,0.000852346317969932,1.9098052978515625
Y0_10,0.0,0.0,2006-04-01,-2.4705555555555545,38.24527777777778,0,1213.0,11.335784048754634,311.4236656250026,4.2560000000000006e-05,9.0,11.189355468750023,0.0008583068620282575,1.0024261474609375
Y0_11,0.0,0.0,2021-07-02,-2.931944444444444,39.56333333333334,0,752.0,0.7071067811865476,315.0,3.009e-05,12.0,23.930566406250023,0.0,1.0142364501953125
Y0_12,0.0,0.0,2008-11-27,-1.482777777777777,38.45611111111111,0,629.0,4.031128874149275,172.8749836510982,3.876e-05,7.0,4.654199218750023,3.4204304683953524,-2.613311767578125
Y0_13,0.0,0.0,2012-06-27,-1.5005555555555548,39.371944444444445,0,617.0,2.5495097567963922,78.69006752597979,2.106e-05,7.0,22.151269531250023,0.1645982265472412,-2.142791748046875
Y0_14,0.0,0.0,2009-08-20,-1.7719444444444437,38.65888888888889,0,769.0,1.8027756377319946,236.30993247402023,3.812e-05,12.0,21.675927734375023,0.0,-0.5596923828125
Y0_15,0.0,0.0,2006-07-03,-2.250833333333333,38.68916666666667,0,1170.0,10.51189802081432,267.2736890060937,5.3200000000000006e-05,9.0,20.037500000000023,0.0,3.3863372802734375
Y0_16,0.0,0.0,2006-08-19,-1.895277777777777,39.25083333333334,0,706.0,0.7071067811865476,225.0,2.184e-05,7.0,15.455957031250023,0.04208087921142578,2.0192108154296875
Y0_17,0.0,0.0,2006-08-03,-1.8833333333333329,39.16527777777778,0,660.0,1.5811388300841898,18.43494882292201,2.2720000000000003e-05,12.0,25.362451171875023,0.0017086476873373613,-1.48370361328125
Y0_18,0.0,0.0,2014-07-22,-1.424166666666666,38.62166666666667,0,718.0,0.5,180.0,1.4170000000000002e-05,7.0,19.544335937500023,0.0017098609532695264,-0.149322509765625
Y0_19,0.0,0.0,2009-11-06,-1.9149999999999991,39.0525,0,679.0,1.0,270.0,1.756e-05,12.0,7.269921875000023,0.416487455368042,4.6153564453125
Y0_20,0.0,0.0,2010-06-26,-2.73861111111111,38.65222222222223,0,864.0,3.0,270.0,2.445e-05,7.0,18.608544921875023,0.2631630632095039,-1.32440185546875
Y0_21,0.0,0.0,2010-07-22,-1.9236111111111105,39.09222222222223,0,686.0,1.5,90.0,2.331e-05,12.0,23.344018554687523,0.0008523463748133508,1.688140869140625
Y0_22,0.0,0.0,2006-04-22,-2.1419444444444435,38.9275,0,730.0,1.0,0.0,1.8860000000000002e-05,12.0,12.006250000000023,2.994883107021451,0.1087188720703125
Y0_23,0.0,0.0,2015-04-17,-1.2149999999999992,39.27111111111112,0,731.0,1.8027756377319946,56.309932474020215,3.7980000000000006e-05,9.0,11.624902343750023,4.379662685096264,2.554931640625
Y0_24,0.0,0.0,2001-06-17,-2.5830555555555548,38.63361111111112,0,835.0,0.0,180.0,2.807e-05,10.0,16.820703125000023,0.0004053114821545023,0.7265625
Y0_25,0.0,0.0,2020-06-14,-2.449722222222221,38.95111111111112,0,1051.0,2.5,233.13010235415598,3.415e-05,10.0,13.978662109375023,0.0005066394805908203,1.8837738037109375
Y0_26,0.0,0.0,2001-08-20,-2.17611111111111,38.3625,0,728.0,9.394147114027968,205.20112364547506,4.952e-05,7.0,19.826562500000023,0.0,1.745086669921875
Y0_27,0.0,0.0,2003-06-04,-1.2922222222222215,38.89361111111111,0,863.0,1.8027756377319946,236.30993247402023,2.5270000000000004e-05,7.0,16.943994140625023,0.0,-1.4841156005859375
Y0_28,0.0,0.0,2004-07-21,-1.8394444444444435,38.50861111111112,0,613.0,14.577379737113251,264.0938588862295,4.843e-05,10.0,20.979638671875023,0.0,-1.1883392333984375
Y0_29,0.0,0.0,2005-07-27,-2.9983333333333326,39.153333333333336,0,661.0,1.5811388300841898,108.43494882292202,2.169e-05,7.0,23.677514648437523,0.0,1.0708770751953125
Y0_30,0.0,0.0,2008-06-25,-2.323888888888888,39.200833333333335,0,722.0,1.0,180.0,2.6830000000000002e-05,12.0,18.464746093750023,0.03648102210718207,1.0019683837890625
Y0_31,0.0,0.0,2020-05-21,-1.6788888888888882,38.31944444444445,0,305.0,0.5,0.0,7.051e-05,10.0,18.962060546875023,0.006088614100008272,0.7322998046875
Y0_32,0.0,0.0,2018-10-01,-1.912777777777777,38.6625,0,908.0,2.9154759474226504,300.9637565320735,2.953e-05,7.0,15.305810546875023,0.0008583068620282575,1.8889923095703125
Y0_33,0.0,0.0,2001-08-24,-2.6758333333333324,38.61916666666667,0,930.0,10.44030650891055,286.6992442339936,5.640000000000001e-05,10.0,23.763085937500023,0.29360054759308696,0.1934661865234375
Y0_34,0.0,0.0,2007-06-25,-1.0924999999999991,38.77222222222223,0,880.0,2.692582403567252,21.80140948635181,3.4890000000000006e-05,7.0,20.892236328125023,0.0038077541830716655,1.587860107421875
Y0_35,0.0,0.0,2013-07-01,-2.1486111111111104,38.60138888888889,0,1081.0,6.519202405202649,265.6012946450045,3.7680000000000005e-05,10.0,16.102197265625023,0.0,-1.10028076171875
Y0_36,0.0,0.0,2021-08-01,-1.9691666666666656,38.82472222222223,0,731.0,2.0615528128088303,14.036243467926479,2.652e-05,7.0,18.683740234375023,0.002593864337541163,1.4820556640625
Y0_37,0.0,0.0,2023-08-20,-2.8958333333333326,39.08277777777778,0,805.0,2.1213203435596424,135.0,2.5020000000000004e-05,10.0,27.816552734375023,0.0,0.278717041015625
Y0_38,0.0,0.0,2008-04-08,-2.429722222222221,38.59361111111112,0,1351.0,9.219544457292887,282.5288077091515,4.863e-05,9.0,6.444482421875023,0.11169314529979602,5.96942138671875
Y0_39,0.0,0.0,2009-03-21,-1.5438888888888882,39.37111111111111,0,707.0,2.5,36.86989764584402,3.2500000000000004e-05,7.0,7.526269531250023,0.0004351138045421976,-2.5503997802734375
Y0_40,0.0,0.0,2022-09-17,-2.972222222222221,39.15055555555556,0,669.0,1.118033988749895,206.565051177078,1.8560000000000002e-05,7.0,18.607568359375023,0.004060456376464572,-1.232086181640625
Y0_41,0.0,0.0,2004-06-23,-2.943055555555554,39.09194444444445,0,759.0,1.5,90.0,2.137e-05,7.0,19.861230468750023,0.0008523463748133508,1.785369873046875
Y0_42,0.0,0.0,2025-07-16,-2.3474999999999997,38.57527777777778,0,1302.0,9.394147114027968,115.20112364547508,7.52e-05,1.0,21.835595703125023,0.0008530433888154221,-1.5754547119140625
Y0_43,0.0,0.0,2023-03-04,-2.5711111111111102,39.29277777777778,0,707.0,0.5,270.0,2.071e-05,7.0,-0.8475097656249773,0.000852346317969932,-2.1873626708984375
Y0_44,0.0,0.0,2005-12-27,-2.030833333333333,38.30222222222223,0,846.0,3.5355339059327378,45.0,4.282e-05,9.0,6.310815429687523,1.54093187302351,2.7460174560546875
Y0_45,0.0,0.0,2024-04-07,-1.5316666666666658,38.651944444444446,0,790.0,3.1622776601683795,71.56505117707799,3.115e-05,7.0,14.269433593750023,0.0012874606909463182,-1.223388671875
Y0_46,0.0,0.0,2010-08-07,-1.976388888888888,38.385000000000005,0,503.0,9.962429422585638,197.52556837372288,3.465e-05,9.0,19.664697265625023,0.01353237712464761,-1.3350982666015625
Y0_47,0.0,0.0,2022-08-01,-1.861388888888888,38.58916666666667,0,762.0,1.8027756377319946,326.30993247402023,1.6110000000000003e-05,7.0,22.336816406250023,0.0018119811784345075,-0.7423858642578125
Y0_48,0.0,0.0,2009-07-11,-2.6955555555555546,39.21111111111112,0,721.0,0.7071067811865476,45.0,1.67e-05,12.0,23.631250000000023,0.0008592558629061386,0.5520172119140625
Y0_49,0.0,0.0,2007-03-19,-3.012777777777777,38.559444444444445,0,797.0,1.8027756377319946,213.69006752597977,2.4750000000000002e-05,10.0,7.517236328125023,0.000852346317969932,2.14898681640625
Y0_50,0.0,0.0,2024-06-13,-2.4783333333333326,38.852222222222224,0,1021.0,1.8027756377319946,213.69006752597977,2.7950000000000002e-05,12.0,14.099267578125023,2.7841622941195965,-0.9268035888671875
Y0_51,0.0,0.0,2023-07-12,-1.8366666666666656,38.33444444444445,0,585.0,5.1478150704935,60.94539590092286,4.105e-05,7.0,24.710351562500023,2.2861133329570293,1.243896484375
Y0_52,0.0,0.0,2006-06-17,-2.779722222222221,39.24138888888889,0,689.0,0.5,270.0,2.0670000000000004e-05,12.0,16.691796875000023,2.8816163539886475,-0.020263671875
Y0_53,0.0,0.0,2023-08-03,-1.5644444444444436,38.63805555555556,0,790.0,6.519202405202649,265.6012946450045,3.407e-05,7.0,28.077050781250023,0.0017106531231547706,3.6131134033203125
Y0_54,0.0,0.0,2006-06-15,-1.7644444444444436,39.04527777777778,0,675.0,0.5,90.0,3.402e-05,12.0,14.864404296875023,0.9898925200104713,-2.307403564453125
Y0_55,0.0,0.0,2002-03-12,-1.9199999999999997,39.36222222222223,0,761.0,1.118033988749895,243.43494882292202,2.4100000000000003e-05,7.0,7.477807617187523,0.018483400708646514,-2.0553741455078125
Y0_56,0.0,0.0,2016-07-05,-2.7758333333333325,39.31805555555556,0,673.0,1.5811388300841898,341.565051177078,2.864e-05,12.0,22.476953125000023,2.3169158957898617,-0.94952392578125
Y0_57,0.0,0.0,2011-02-04,-2.162499999999999,38.60083333333333,0,1126.0,4.6097722286464435,347.4711922908485,2.823e-05,9.0,-1.9100097656249773,0.0004351138045421976,1.6160430908203125
Y0_58,0.0,0.0,2004-03-21,-2.3088888888888883,39.40416666666667,0,765.0,2.5495097567963922,258.69006752597977,3.224e-05,7.0,9.780297851562523,0.0008463859444418631,0.14825439453125
Y0_59,0.0,0.0,2007-03-26,-2.4186111111111104,38.30305555555556,0,745.0,3.1622776601683795,108.43494882292202,4.874e-05,10.0,5.075830078125023,0.05376636909204535,1.255096435546875
Y0_60,0.0,0.0,2005-08-10,-1.6408333333333325,39.409444444444446,0,778.0,2.0615528128088303,14.036243467926479,1.73e-05,7.0,21.932885742187523,0.08282065391540527,-1.2268218994140625
Y0_61,0.0,0.0,2014-08-15,-2.6522222222222216,38.6375,0,824.0,6.0,90.0,2.058e-05,12.0,20.151025390625023,0.0012218952178955078,-1.1492919921875
Y0_62,0.0,0.0,2018-03-22,-1.865277777777777,38.415000000000006,0,521.0,6.264982043070834,61.38954033403479,4.542e-05,6.0,3.2208496093750227,0.0004351138613856165,1.123016357421875
Y0_63,0.0,0.0,2007-07-27,-2.4883333333333324,39.227222222222224,0,746.0,1.118033988749895,243.43494882292202,2.9200000000000005e-05,7.0,23.228173828125023,0.0,1.6985015869140625
Y0_64,0.0,0.0,2003-12-10,-1.136388888888888,38.83388888888889,0,832.0,1.5,90.0,3.438e-05,10.0,4.569238281250023,10.302329435944557,-5.37629508972168
Y0_65,0.0,0.0,2006-08-25,-1.4772222222222215,39.42972222222223,0,521.0,0.0,180.0,4.828e-05,9.0,19.733544921875023,0.0012814989531761967,-2.166351318359375
Y0_66,0.0,0.0,2005-05-13,-2.5524999999999998,39.5425,0,766.0,1.118033988749895,243.43494882292202,2.956e-05,12.0,14.217675781250023,0.4984736442565918,2.3052825927734375
Y0_67,0.0,0.0,2003-08-15,-2.3555555555555547,38.26055555555556,0,1394.0,10.793516572461451,166.6075022462489,5.996e-05,9.0,23.111962890625023,0.0,1.8610687255859375
Y0_68,0.0,0.0,2013-03-04,-1.590277777777777,39.51111111111111,0,734.0,3.605551275463989,56.309932474020215,3.921e-05,9.0,4.081201171875023,0.6822347640991211,-2.7137451171875
Y0_69,0.0,0.0,2003-07-15,-1.091388888888888,38.71055555555556,0,697.0,1.5811388300841898,251.56505117707798,5.4770000000000006e-05,7.0,21.757714843750023,0.6429344648495317,-1.2475738525390625
Y0_70,0.0,0.0,2007-08-01,-1.5808333333333326,38.62861111111111,0,712.0,1.5811388300841898,161.565051177078,1.928e-05,7.0,21.792626953125023,0.0012814989531761967,-0.673980712890625
Y0_71,0.0,0.0,2016-05-09,-2.78361111111111,38.488888888888894,0,774.0,,,5.112e-05,10.0,8.349511718750023,6.340110208839178,-0.2893524169921875
Y0_72,0.0,0.0,2007-06-25,-0.9486111111111102,38.78694444444445,0,691.0,2.0615528128088303,255.96375653207352,2.716e-05,7.0,20.835595703125023,0.003435225153225474,1.367156982421875
Y0_73,0.0,0.0,2017-03-18,-2.117777777777777,39.19722222222222,0,713.0,1.118033988749895,296.565051177078,4.4e-05,12.0,3.4405761718750227,0.0,-1.8416900634765625
Y0_74,0.0,0.0,2018-07-23,-1.8405555555555548,38.41194444444445,0,535.0,2.5,216.86989764584402,2.682e-05,7.0,21.572412109375023,0.050470527639845386,-1.0526885986328125
Y0_75,0.0,0.0,2017-07-20,-2.491666666666666,38.08694444444445,0,1505.0,5.0,323.13010235415595,4.156e-05,10.0,19.101831054687523,0.27424097061157227,1.8345794677734375
Y0_76,0.0,0.0,2018-09-27,-1.8074999999999992,38.89833333333333,0,785.0,0.7071067811865476,315.0,2.404e-05,7.0,16.690576171875023,1.773717813193798,-3.2544097900390625
Y0_77,0.0,0.0,2001-06-26,-2.3997222222222216,38.04833333333334,0,1556.0,4.743416490252569,251.56505117707798,3.2330000000000004e-05,7.0,17.881494140625023,0.0012814989531761967,1.712921142578125
Y0_78,0.0,0.0,2000-06-16,-2.449722222222221,38.15972222222223,0,1455.0,3.3541019662496847,296.565051177078,2.858e-05,10.0,14.594873046875023,0.0004410743486005231,-1.0786590576171875
Y0_79,0.0,0.0,2003-06-02,-1.6524999999999992,38.965,0,919.0,3.640054944640259,164.05460409907712,3.225e-05,7.0,18.136621093750023,0.01017153226712253,1.75054931640625
Y0_80,0.0,0.0,2007-07-27,-1.141388888888888,38.73611111111112,0,839.0,6.18465843842649,345.96375653207355,4.767e-05,7.0,21.444970703125023,0.0,0.5363922119140625
Y0_81,0.0,0.0,2020-03-15,-2.844444444444444,38.85388888888889,0,933.0,0.5,180.0,4.6700000000000003e-05,6.0,10.912500000000023,0.8254408603534102,-0.847686767578125
Y0_82,0.0,0.0,2023-09-02,-2.7758333333333325,39.44666666666667,0,701.0,0.5,0.0,2.376e-05,12.0,22.753808593750023,0.09482695168117061,-2.78216552734375
Y0_83,0.0,0.0,2024-07-01,-2.6680555555555547,39.54861111111112,0,814.0,2.0,180.0,3.295e-05,7.0,19.573999023437523,0.013867671441403218,1.5464019775390625
Y0_84,0.0,0.0,2023-07-27,-2.568055555555554,39.47083333333334,0,724.0,0.0,180.0,2.265e-05,12.0,23.346337890625023,0.0008494699841321562,-4.107635498046875
Y0_85,0.0,0.0,2009-03-10,-1.552777777777777,39.45611111111111,0,615.0,2.9154759474226504,30.96375653207352,2.396e-05,10.0,4.591943359375023,0.0017198981367982924,-1.6421051025390625
Y0_86,0.0,0.0,2004-04-09,-2.977777777777777,38.87583333333334,0,911.0,0.5,90.0,1.9620000000000002e-05,10.0,8.465722656250023,0.9220000356435776,-2.361785888671875
Y0_87,0.0,0.0,2024-05-11,-2.3233333333333324,39.50694444444445,0,759.0,1.4142135623730951,225.0,4.8650000000000003e-05,12.0,15.748193359375023,0.0017106531231547706,-3.534881591796875
Y0_88,0.0,0.0,2014-01-18,-2.129999999999999,38.83083333333334,0,810.0,1.4142135623730951,315.0,2.004e-05,12.0,4.033105468750023,0.1543045073049143,-1.3770751953125
Y0_89,0.0,0.0,2022-07-05,-1.567777777777777,38.46,0,506.0,1.5,180.0,2.2490000000000003e-05,7.0,23.384667968750023,2.084070350974798,-1.35198974609375
Y0_90,0.0,0.0,2021-12-25,-1.6544444444444435,39.23361111111112,0,709.0,1.0,270.0,2.561e-05,12.0,9.380029296875023,8.21568351238966,3.59503173828125
Y0_91,0.0,0.0,2002-02-05,-1.881944444444444,38.34583333333334,0,518.0,11.5,90.0,3.406e-05,9.0,4.695214843750023,0.00300990814139368,2.0158843994140625
Y0_92,0.0,0.0,2005-12-17,-2.448888888888888,38.48388888888889,0,1100.0,2.692582403567252,158.19859051364818,5.156000000000001e-05,1.0,-2.6822265624999773,0.0008523463748133508,1.757659912109375
Y0_93,0.0,0.0,2006-03-13,-2.2238888888888884,39.10666666666667,0,731.0,2.1213203435596424,315.0,2.033e-05,12.0,5.944970703125023,0.0008583068620282575,1.5395965576171875
Y0_94,0.0,0.0,2018-08-09,-2.839444444444444,39.24055555555556,0,675.0,1.0,90.0,2.964e-05,12.0,26.121972656250023,1.0331186931580305,1.7141571044921875
